"";"squads_player_id";"squads_tournament_id";"squads_team_id";"squads_shirt_number";"squads_position_name";"players_family_name";"players_given_name";"players_birth_date";"players_female";"players_goal_keeper";"players_defender";"players_midfielder";"players_forward"
"995";"P-07307";"WC-1999";"T-51";3;"forward";"Jo";"Song-ok";"1974-03-18";1;0;0;0;1
"996";"P-07338";"WC-2006";"T-20";23;"goal keeper";"Kinský";"Antonín";"1975-05-31";0;1;0;0;0
"997";"P-07343";"WC-2019";"T-31";21;"goal keeper";"Frohms";"Merle";"1995-01-28";1;1;0;0;0
"998";"P-07353";"WC-2014";"T-38";20;"defender";"Beitashour";"Steven";"1987-02-01";0;0;1;0;0
"999";"P-07358";"WC-1938";"T-53";0;"midfielder";"Holmberg";"Rolf";"1914-08-24";0;0;0;1;0
"1000";"P-07363";"WC-1986";"T-10";14;"midfielder";"Markov";"Plamen";"1957-09-11";0;0;0;1;0
"1001";"P-07368";"WC-2006";"T-81";6;"defender";"Rusol";"Andriy";"1983-01-16";0;0;1;0;0
"1002";"P-07371";"WC-2010";"T-66";9;"forward";"Pantelić";"Marko";"1978-09-15";0;0;0;0;1
"1003";"P-07398";"WC-1934";"T-09";0;"forward";"Áttila";"not applicable";"1910-12-16";0;0;0;0;1
"1004";"P-07441";"WC-1958";"T-09";5;"midfielder";"Sani";"Dino";"1932-05-23";0;0;0;1;0
"1005";"P-07453";"WC-2014";"T-75";19;"forward";"Drmić";"Josip";"1992-08-08";0;0;0;0;1
"1006";"P-07453";"WC-2018";"T-75";19;"forward";"Drmić";"Josip";"1992-08-08";0;0;0;0;1
"1007";"P-07458";"WC-2011";"T-09";10;"forward";"Marta";"not applicable";"1986-02-19";1;0;0;0;1
"1008";"P-07458";"WC-2007";"T-09";10;"forward";"Marta";"not applicable";"1986-02-19";1;0;0;0;1
"1009";"P-07458";"WC-2015";"T-09";10;"forward";"Marta";"not applicable";"1986-02-19";1;0;0;0;1
"1010";"P-07458";"WC-2019";"T-09";10;"forward";"Marta";"not applicable";"1986-02-19";1;0;0;0;1
"1011";"P-07458";"WC-2003";"T-09";10;"forward";"Marta";"not applicable";"1986-02-19";1;0;0;0;1
"1012";"P-07466";"WC-1999";"T-46";20;"midfielder";"Ireta";"Denise";"1980-01-04";1;0;0;1;0
"1013";"P-07475";"WC-2014";"T-83";17;"forward";"Altidore";"Jozy";"1989-11-06";0;0;0;0;1
"1014";"P-07475";"WC-2010";"T-83";17;"forward";"Altidore";"Jozy";"1989-11-06";0;0;0;0;1
"1015";"P-07477";"WC-1982";"T-06";20;"midfielder";"Vandersmissen";"Guy";"1957-12-25";0;0;0;1;0
"1016";"P-07479";"WC-1974";"T-57";11;"midfielder";"Ćmikiewicz";"Lesław";"1948-08-25";0;0;0;1;0
"1017";"P-07482";"WC-2006";"T-02";10;"forward";"Akwá";"not applicable";"1977-05-30";0;0;0;0;1
"1018";"P-07494";"WC-2010";"T-71";14;"defender";"Lee";"Jung-soo";"1980-01-08";0;0;1;0;0
"1019";"P-07517";"WC-1994";"T-10";5;"defender";"Hubchev";"Petar";"1964-02-26";0;0;1;0;0
